name,id,listPrice,isSoldOut
Grundens® X J.Crew graphic hoodie,BB117,N/A,True
Tall Kate straight-leg pant in bi-stretch cotton,BF403,"{'amount': 98, 'formatted': '$98.00'}",False
Tall Kate straight-leg pant in four-season stretch,BK253,"{'amount': 118, 'formatted': '$118.00'}",False
Petite Kate straight-leg pant in faux leather,BN271,"{'amount': 148, 'formatted': '$148.00'}",False
Tall Sydney wide-leg pant in four-season stretch,BN851,"{'amount': 128, 'formatted': '$128.00'}",False
Tall wide-leg pant in Italian ponte,BP437,"{'amount': 178, 'formatted': '$178.00'}",False
Collection Thomas Mason® tuxedo shirt in cotton voile,E9214,N/A,True
LeSpecs® Teen Spirit Deux sunglasses,K1517,N/A,True
Summersalt® high kick in pink,K1817,N/A,True
Summersalt® deep dive one-piece in white,K1834,N/A,True
Summersalt® high leg high-rise bikini bottom in blue,K1858,N/A,True
Odette New York® Aalto earrings,K2034,N/A,True
Odette New York® Pivot earrings,K2050,N/A,True
Tinker™ 42mm silver-toned watch with black strap,K2058,N/A,True
Odette New York® Ridge cuff bracelet,K2063,N/A,True
Tinker™ 38mm gold-toned watch with grey strap,K2069,N/A,True
Odette New York® Aalto necklace,K2074,N/A,True
Onia Nina solid one-piece in yellow,K2115,N/A,True
Onia Kelly solid terry one-piece,K2165,N/A,True
Onia Danni citrus gingham bikini top,K2175,N/A,True
Onia Genevieve bikini top,K2183,N/A,True
"Onia Calder 7.5"" swim trunk in blue",K2228,N/A,True
"Onia Charles 7"" swim trunk in red",K2235,N/A,True
RAINS® weekend bag,K2814,N/A,True
Unisex RAINS® long jacket,K2823,N/A,True
The Great Eros® Fresco cut-out bralette,K5157,N/A,True
The Great Eros® Fresco bodysuit,K5168,N/A,True
The Great Eros® Sonata bralette in putty,K5177,N/A,True
The Great Eros® high-waist bikini brief,K5190,N/A,True
Mayron's GOODS® chia seed + coconut oil for body and hair,K5414,N/A,True
LEBON® le white travel toothpaste,K5489,N/A,True
LEBON® une piscine a antibes toothpaste,K5499,N/A,True
GROWN ALCHEMIST® 65 ml vanilla-and-orange-peel hand cream,K5510,N/A,True
"GROWN ALCHEMIST® body cleansing bar - geranium, bergamot and patchouli",K5516,N/A,True
GROWN ALCHEMIST® regenerating night cream - neuro-peptide and violet leaf extract,K5595,N/A,True
Fellow Barber™ Styling Cream,K5863,N/A,True
Onia Kate bikini bottom,K6568,N/A,True
Onia Rosa toucan flower Panama hat,K6573,N/A,True
Onia Gloria one-piece,K6578,N/A,True
Onia Genevieve banana bikini top,K6583,N/A,True
"Onia Calder 7.5"" swim trunk in sage",K6589,N/A,True
"Onia Charles 7"" swim trunk in green",K6594,N/A,True
Fragrance With Benefits® NoMo eau fraiche and body crème bundle,K6599,N/A,True
Unisex Koio tri-strap white sneakers,K7026,N/A,True
SeaVees® Huntington middie sneakers in deep navy,K7410,N/A,True
SeaVees® Hermosa sneaker standards in natural,K7437,N/A,True
SNOWE™ chef's towel set,K7445,N/A,True
SNOWE™ Staycation candle,K7453,N/A,True
SNOWE™ travel candle set,K7458,N/A,True
SNOWE™ Rinse and Repeat diffuser,K7464,N/A,True
Swedish Stockings™ Elin premium tights,K7581,"{'amount': 20, 'formatted': '$20.00'}",False
W&P travel pack,K8086,N/A,True
W&P Shake,K8091,N/A,True
W&P barrel-aged spirits kit,K8096,N/A,True
GREATS® Royale sneakers in black with contrast sole,K8605,N/A,True
GREATS® Pronto sneakers in black,K8611,N/A,True
GREATS® Wooster perforated slip-on sneakers,K8616,N/A,True
Onia Leah bikini bottom,K8815,N/A,True
Onia Kelly one-piece,K8848,N/A,True
"Onia Calder 7.5"" banana leaf swim trunk",K8861,N/A,True
"Onia Charles 7"" swim trunk in tropical camo print",K8871,N/A,True
