_id,list_price,sizesList,on_sale,colors,desc,name
BF403,98,"[""TALL 16"",""TALL 8"",""TALL 6"",""TALL 2"",""TALL 4"",""TALL 14"",""TALL 12"",""TALL 10"",""TALL SIZE 0""]",false,"[""Ivory"",""Navy"",""Black""]","Introducing the Work Remix. A capsule of comfy, polished pieces that are as versatile as whatever your version of ""going to the office"" is these days. A wear-to-work wonder, the Kate pant is comfortable, flattering and goes-with-everything. It features a streamlined, straight-leg silhouette and Perfecting Pockets™. Plus, it's crafted in comfy bi-stretch cotton, so you can also rest assured knowing it feels as good as it looks. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton.",Tall Kate straight-leg pant in bi-stretch cotton
BK253,118,"[""TALL 10"",""TALL SIZE 0"",""TALL 6"",""TALL 12"",""TALL 4"",""TALL 8"",""TALL 16"",""TALL 14"",""TALL 2""]",false,"[""Hthr saddle"",""Hthr graphite"",""Navy"",""Black""]","A wear-to-work wonder, the Kate pant is sleek, flattering and goes-with-everything. It features a streamlined, straight-leg silhouette and Perfecting Pockets™. Plus, we crafted it in our customer-favorite four-season stretch that never loses its shape, and is guaranteed to keep you comfortable in every meeting, no matter how long.",Tall Kate straight-leg pant in four-season stretch
BN271,148,"[""PETITE 2""]",false,"[""Black""]","A wear-to-work wonder, the Kate pant is sleek, flattering and goes-with-everything. It features a streamlined, straight-leg silhouette and Perfecting Pockets™. Since we're all about in-with-the-new, we updated (and upgraded) them with supersmooth faux leather. The result: a sleek style that's pretty much perfect for home, work, wherever.",Petite Kate straight-leg pant in faux leather
BN851,128,"[""TALL 10"",""TALL 12"",""TALL 14"",""TALL 2"",""TALL 4"",""TALL 6"",""TALL 8"",""TALL SIZE 0"",""TALL 16""]",false,"[""Warm persimmon"",""Hthr graphite"",""Navy"",""Black""]","Your new work pants are calling. With a wide-leg, cropped silhouette and high rise, they're perfect for in-office and out-to-drinks plans. Bonus: They're made with comfy four-season stretch fabric, so you can also rest assured knowing they feel as good as they look.",Tall Sydney wide-leg pant in four-season stretch
BP437,178,"[""TALL 16""]",false,"[""Black""]","Refresh your office-outfit rotation with this wide-leg pant style, with a slightly cropped fit and pockets for your convenience. Plus, it's crafted in Italian ponte, a luxe knit we sourced from Lanificio Mario Bellucci for its perfect mix of softness and structure.",Tall wide-leg pant in Italian ponte
K7581,20,"[""LARGE"",""SMALL"",""X-LARGE""]",false,"[""Black""]","These versatile, nude tights by Swedish Stockings are knit in 3D from a blend of 100 percent regenerated yarn and ECONYL® nylon repurposed from salvaged fishnets that were lost at sea. The extra reinforcement in the toes and a wide, broad waistband make for an extra-comfortable fit that actually stays put. The only sustainable hosiery brand in the world, Swedish Stockings uses recycled yarns, eco-friendly dyes and solar-powered energy to craft premium tights and socks that last. Shop more Swedish Stockings styles.",Swedish Stockings™ Elin premium tights
L4442,88,"[""1"",""2"",""3"",""6 MONTHS""]",false,"[""Blue""]","Printed by hand, this old-timey trapeze artist-inspired one-piece also doubles as a swimsuit (score). Handcrafted using only natural or low-impact dyes, this sweet, vintage-inspired collection of children's apparel and accessories is perfect for playing make-believe in the real world.",Girls' Wovenplay® lola suit
L4448,88,"[""2"",""3/4"",""5-6""]",false,"[""Natural""]","Dyed and printed by hand in Brooklyn, these miniature chaps are made from 100 percent cotton with real leather trim. Handcrafted using only natural or low-impact dyes, this sweet, vintage-inspired collection of children's apparel and accessories is perfect for playing make-believe in the real world.",Boys' Wovenplay® cowboy chaps
L4454,60,"[""1"",""2"",""4"",""6"",""6 MONTHS"",""8-10""]",false,"[""Purple"",""Natural""]","This soft, cotton sweatshirt is dyed and printed by hand in NYC. Handcrafted using only natural or low-impact dyes, this sweet, vintage-inspired collection of children's apparel and accessories is perfect for playing make-believe in the real world.",Girls' Wovenplay® whale sweatshirt
L9234,230,"[""X-SMALL"",""SMALL"",""MEDIUM"",""LARGE""]",false,"[""Ivory white"",""Black""]","Made from a finely ribbed silk knit that helps regulate your body temperature, these leggings feature a hidden high waistband for an extra-comfy fit. Minimalist and modern, HANRO is a luxe undergarments label that has been crafting refreshingly simple designs from premium materials (aka not-so-basic basics) for over 100 years.",HANRO® pure silk leggings
M2583,58,"[""2"",""4"",""6"",""8"",""10""]",false,"[""Navy multi""]","This classic pajama set is accented with sophisticated piping and finished with pearl buttons; the exquisite cotton is lighter weight than flannel, making it soft yet breathable. In our luxurious sleepwear, your little ones will be tucked in in love and off to dreamland. Bonne nuit, ma petite plume.",Petite Plume™ flannel pajama set in gingham
